id,node_code,region,latitude,longitude,gen_type,Pmin,capacity_mw,om_cost,inv_cost
1,AB,AB,10,15,wind_onshore,0,1000,0,298390
2,AB,AB,10,15,solar_PV,0,1000,0,201620
3,AB,AB,10,15,NG_CCS,0,1000,8.54,442870
4,AB,AB,10,15,NG_CC,0,1000,2.73,169600
5,AB,AB,10,15,biomass,0,1000,7.07,720370
6,BC,BC,10,15,wind_onshore,0,1000,0,298390
7,BC,BC,10,15,solar_PV,0,1000,0,201620
8,BC,BC,10,15,NG_CCS,0,1000,8.54,442870
9,BC,BC,10,15,NG_CC,0,1000,2.73,169600
10,BC,BC,10,15,biomass,0,1000,7.07,720370
11,MB,MB,10,15,wind_onshore,0,1000,0,298390
12,MB,MB,10,15,solar_PV,0,1000,0,201620
13,MB,MB,10,15,NG_CCS,0,1000,8.54,442870
14,MB,MB,10,15,NG_CC,0,1000,2.73,169600
15,MB,MB,10,15,biomass,0,1000,7.07,720370
16,NB,NB,10,15,wind_onshore,0,1000,0,298390
17,NB,NB,10,15,solar_PV,0,1000,0,201620
18,NB,NB,10,15,NG_CCS,0,1000,8.54,442870
19,NB,NB,10,15,NG_CC,0,1000,2.73,169600
20,NB,NB,10,15,biomass,0,1000,7.07,720370
21,NL,NL,10,15,wind_onshore,0,1000,0,298390
22,NL,NL,10,15,solar_PV,0,1000,0,201620
23,NL,NL,10,15,NG_CCS,0,1000,8.54,442870
24,NL,NL,10,15,NG_CC,0,1000,2.73,169600
25,NL,NL,10,15,biomass,0,1000,7.07,720370
26,NS,NS,10,15,wind_onshore,0,1000,0,298390
27,NS,NS,10,15,solar_PV,0,1000,0,201620
28,NS,NS,10,15,NG_CCS,0,1000,8.54,442870
29,NS,NS,10,15,NG_CC,0,1000,2.73,169600
30,NS,NS,10,15,biomass,0,1000,7.07,720370
31,ON,ON,10,15,wind_onshore,0,1000,0,298390
32,ON,ON,10,15,solar_PV,0,1000,0,201620
33,ON,ON,10,15,NG_CCS,0,1000,8.54,442870
34,ON,ON,10,15,NG_CC,0,1000,2.73,169600
35,ON,ON,10,15,biomass,0,1000,7.07,720370
36,PE,PE,10,15,wind_onshore,0,1000,0,298390
37,PE,PE,10,15,solar_PV,0,1000,0,201620
38,PE,PE,10,15,NG_CCS,0,1000,8.54,442870
39,PE,PE,10,15,NG_CC,0,1000,2.73,169600
40,PE,PE,10,15,biomass,0,1000,7.07,720370
41,QC,QC,10,15,wind_onshore,0,1000,0,298390
42,QC,QC,10,15,solar_PV,0,1000,0,201620
43,QC,QC,10,15,NG_CCS,0,1000,8.54,442870
44,QC,QC,10,15,NG_CC,0,1000,2.73,169600
45,QC,QC,10,15,biomass,0,1000,7.07,720370
46,SK,SK,10,15,wind_onshore,0,1000,0,298390
47,SK,SK,10,15,solar_PV,0,1000,0,201620
48,SK,SK,10,15,NG_CCS,0,1000,8.54,442870
49,SK,SK,10,15,NG_CC,0,1000,2.73,169600
50,SK,SK,10,15,biomass,0,1000,7.07,720370
