id,node_code,region,latitude,longitude,gen_type,Pmin,capacity_mw,om_cost
1,AB,AB,55.264846,-112.120027,biomass,0.4,131,7.07
2,AB,AB,49.641708,-113.491982,wind_onshore,0,73,0
3,AB,AB,50.490504,-111.652481,NG_SC,0,7,6.88
4,AB,AB,50.165781,-113.615453,NG_SC,0,10,6.88
5,AB,AB,53.78278,-113.109585,NG_CG,0,106,2.73
6,AB,AB,54.127889,-115.665862,NG_SC,0,63,6.88
7,AB,AB,49.641708,-113.491982,wind_onshore,0,68,0
8,AB,AB,54.941979,-117.202936,NG_CG,0,36,2.73
9,AB,AB,54.941979,-117.202936,NG_CG,0,64,2.73
10,AB,AB,52.302068,-113.728788,NG_CG,0,6.05,2.73
11,AB,AB,50.710701,-111.091596,wind_onshore,0,18,0
12,AB,AB,50.710701,-111.091596,wind_onshore,0,16,0
13,AB,AB,50.710701,-111.091596,wind_onshore,0,18,0
14,AB,AB,50.710701,-111.091596,wind_onshore,0,11,0
15,AB,AB,52.430225,-111.755051,NG_SC,0,5,6.88
16,AB,AB,52.647792,-115.081306,hydro_daily,0,60,5
17,AB,AB,52.647792,-115.081306,hydro_daily,0,60,5
18,AB,AB,52.651507,-115.078971,NG_CG,0,6,2.73
19,AB,AB,50.9713,-113.8858,solar_PV,0,27,0
20,AB,AB,49.569205,-113.82165,hydro_run,0,2.7,1
21,AB,AB,51.026456,-114.037616,biomass,0.4,10,7.07
22,AB,AB,52.468326,-112.132548,NG_CC,0,155,2.73
23,AB,AB,52.468326,-112.132548,NG_CC,0,395,2.73
24,AB,AB,52.91151,-115.373052,hydro_daily,0,162,5
25,AB,AB,52.91151,-115.373052,hydro_daily,0,200,5
26,AB,AB,52.468326,-112.132548,coal,0,148,6.58
27,AB,AB,52.468326,-112.132548,coal,0,407,6.58
28,AB,AB,49.650996,-111.291014,solar_PV,0,11,0
29,AB,AB,50.556597,-112.017257,solar_PV,0,13,0
30,AB,AB,50.556597,-112.017257,solar_PV,0,14,0
31,AB,AB,51.010413,-114.166987,hydro_run,0,11.2,1
32,AB,AB,50.556597,-112.017257,solar_PV,0,15,0
33,AB,AB,51.010413,-114.166987,hydro_daily,0,17,5
34,AB,AB,50.136419,-112.883915,wind_onshore,0,300,0
35,AB,AB,52.302068,-113.728788,wind_onshore,0,66,0
36,AB,AB,52.405529,-110.579964,wind_onshore,0,13.6,0
37,AB,AB,52.405529,-110.579964,wind_onshore,0,15.3,0
38,AB,AB,49.650996,-111.291014,solar_PV,0,20,0
39,AB,AB,51.178852,-113.938255,NG_CC,0,330,2.73
40,AB,AB,53.516682,-116.604432,NG_CC,0,450,2.73
41,AB,AB,53.516682,-116.604432,NG_CC,0,450,2.73
42,AB,AB,50.17756,-110.480231,biomass,0.4,42,7.07
43,AB,AB,49.827779,-112.735101,hydro_run,0,15,1
44,AB,AB,50.180374,-110.481204,solar_PV,0,15,0
45,AB,AB,55.560303,-110.914388,NG_CG,0,100,2.73
46,AB,AB,50.165781,-113.615453,solar_PV,0,58,0
47,AB,AB,50.165781,-113.615453,solar_PV,0,75,0
48,AB,AB,50.259286,-112.76472,solar_PV,0,41,0
49,AB,AB,50.259286,-112.76472,solar_PV,0,34,0
50,AB,AB,50.17756,-110.480231,NG_CC,0,299,2.73
51,AB,AB,57.340441,-111.757946,NG_CG,0,203,2.73
52,AB,AB,49.827779,-112.735101,NG_CG,0,5,2.73
53,AB,AB,49.827779,-112.735101,solar_PV,0,22,0
54,AB,AB,49.650996,-111.291014,solar_PV,0,41,0
55,AB,AB,49.650996,-111.291014,solar_PV,0,41,0
56,AB,AB,49.516081,-114.027645,wind_onshore,0,20,0
57,AB,AB,53.019004,-113.485876,NG_CG,0,10,2.73
58,AB,AB,49.557522,-113.961163,wind_onshore,0,76.2,0
59,AB,AB,49.557522,-113.961163,wind_onshore,0,29.4,0
60,AB,AB,51.43106,-113.837955,NG_SC,0,48,6.88
61,AB,AB,51.43106,-113.837955,NG_SC,0,48,6.88
62,AB,AB,51.43106,-113.837955,NG_SC,0,48,6.88
63,AB,AB,49.515911,-114.026624,wind_onshore,0,39,0
64,AB,AB,50.495098,-116.117825,hydro_daily,0,17,5
65,AB,AB,50.495098,-116.117825,hydro_daily,0,18,5
66,AB,AB,49.841247,-110.521769,wind_onshore,0,196,0
67,AB,AB,49.841247,-110.521769,wind_onshore,0,46,0
68,AB,AB,56.277074,-116.975322,biomass,0.4,52,7.07
69,AB,AB,50.9713,-113.8858,solar_PV,0,35,0
70,AB,AB,52.236765,-113.86917,hydro_run,0,5.6,1
71,AB,AB,52.236765,-113.86917,hydro_run,0,5.6,1
72,AB,AB,52.236765,-113.86917,hydro_run,0,5.6,1
