id,node_code,region,latitude,longitude,gen_type,Pmin,capacity_mw,om_cost
1,434,N,10,15,wind,0,466,12
2,428,N,10,15,gas,0,415,55
3,1024,N,10,15,solar,0,28,15
4,692,N,10,15,solar,0,80,15
5,299,N,10,15,solar,0,33.2,15
6,8,N,10,15,solar,0,40.5,15
7,258,N,10,15,hydro,0,24,8
8,448,N,10,15,wind,0,72,12
9,835,N,10,15,wind,0,303,12
10,668,N,10,15,hydro,0,16,8
11,668,N,10,15,hydro,0,66,8
12,668,N,10,15,hydro,0,195,8
13,453,N,10,15,solar,0,20,15
14,519,N,10,15,solar,0,10,15
15,202,N,10,15,solar,0,50,15
16,382,N,10,15,solar,0,30,15
17,103,N,10,15,solar,0,100,15
18,1241,N,10,15,solar,0,100,15
19,816,N,10,15,wind,0,113,12
20,557,N,10,15,wind,0,297,12
21,788,N,10,15,wind,0,151,12
22,196,N,10,15,wind,0,15,12
23,622,N,10,15,wind,0,152,12
24,1223,N,10,15,wind,0,24.6,12
25,603,N,10,15,wind,0,145,12
26,1005,N,10,15,wind,0,130,12
27,435,N,10,15,wind,0,100,12
28,566,N,10,15,wind,0,151,12
29,235,N,10,15,wind,0,42,12
30,1021,N,10,15,hydro,0,127,8
31,107,N,10,15,solar,0,44,15
32,450,N,10,15,solar,0,10,15
33,1020,N,10,15,diesel,0,66,70
34,820,N,10,15,wind,0,196,12
35,20,N,10,15,solar,0,10,15
36,603,N,10,15,wind,0,122.4,12
37,788,N,10,15,wind,0,266,12
38,944,N,10,15,hydro,0,42,8
39,808,N,10,15,hydro,0,212,8
40,235,N,10,15,hydro,0,11.5,8
41,235,N,10,15,hydro,0,28,8
42,945,N,10,15,hydro,0,23,8
43,427,N,10,15,wind,0,13.8,12
44,427,N,10,15,wind,0,24,12
45,375,N,10,15,wind,0,10,12
46,1248,N,10,15,wind,0,9.2,12
47,945,N,10,15,wind,0,102,12
48,945,N,10,15,wind,0,10,12
49,1248,N,10,15,wind,0,62.1,12
50,375,N,10,15,wind,0,49.5,12
51,430,N,10,15,wind,0,51,12
52,945,N,10,15,hydro,0,11,8
53,643,N,10,15,wind,0,31.5,12
54,728,N,10,15,wind,0,142,12
55,155,N,10,15,hydro,0,18,8
56,155,N,10,15,hydro,0,1145,8
57,775,N,10,15,wind,0,10.56,12
58,775,N,10,15,wind,0,9,12
59,675,N,10,15,wind,0,30,12
60,847,N,10,15,wind,0,27,12
61,702,N,10,15,wind,0,99,12
62,775,N,10,15,wind,0,10,12
63,676,N,10,15,wind,0,30,12
64,357,N,10,15,wind,0,74,12
65,682,N,10,15,wind,0,224.4,12
66,682,N,10,15,wind,0,24.6,12
67,906,N,10,15,wind,0,24.6,12
68,906,N,10,15,wind,0,74.8,12
69,489,N,10,15,wind,0,23.5,12
70,235,N,10,15,wind,0,30,12
71,683,N,10,15,wind,0,101.05,12
72,945,N,10,15,wind,0,23.15,12
73,458,N,10,15,wind,0,20,12
74,712,N,10,15,wind,0,26,12
75,1254,N,10,15,wind,0,11,12
76,1161,N,10,15,wind,0,23,12
77,788,N,10,15,wind,0,130,12
78,407,N,10,15,wind,0,300,12
79,1091,N,10,15,wind,0,105,12
80,788,N,10,15,wind,0,202,12
81,747,N,10,15,wind,0,206.4,12
82,1004,N,10,15,wind,0,150,12
83,816,N,10,15,wind,0,30,12
84,410,N,10,15,wind,0,20,12
85,604,N,10,15,wind,0,132,12
86,604,N,10,15,wind,0,46,12
87,747,N,10,15,wind,0,66,12
88,603,N,10,15,wind,0,88,12
89,783,N,10,15,wind,0,81.6,12
90,788,N,10,15,wind,0,80,12
91,407,N,10,15,wind,0,30,12
92,556,N,10,15,wind,0,29,12
93,278,N,10,15,hydro,0,21.85,8
94,235,N,10,15,oil,0,972,65
95,872,N,10,15,wind,0,17.6,12
96,1026,N,10,15,solar,0,9,15
97,657,N,10,15,diesel,0,99,70
98,244,N,10,15,wind,0,45,12
99,776,N,10,15,wind,0,12,12
100,775,N,10,15,wind,0,99,12
101,4,N,10,15,oil,0,40,65
102,251,N,10,15,hydro,0,54,8
103,366,N,10,15,hydro,0,19,8
104,585,N,10,15,hydro,0,23,8
105,585,N,10,15,hydro,0,40.6,8
106,585,N,10,15,hydro,0,18,8
107,585,N,10,15,hydro,0,21.2,8
108,585,N,10,15,hydro,0,27,8
109,585,N,10,15,hydro,0,22,8
110,585,N,10,15,hydro,0,17.5,8
111,585,N,10,15,hydro,0,33.5,8
112,585,N,10,15,hydro,0,27,8
113,12,N,10,15,hydro,0,49.9,8
114,639,N,10,15,hydro,0,88,8
115,668,N,10,15,hydro,0,16,8
116,762,N,10,15,wind,0,144,12
117,295,N,10,15,hydro,0,105.6,8
118,124,N,10,15,solar,0,13,15
119,124,N,10,15,solar,0,13,15
120,356,N,10,15,solar,0,10,15
121,162,N,10,15,hydro,0,16,8
122,303,N,10,15,hydro,0,258,8
123,823,N,10,15,wind,0,59.9,12
124,823,N,10,15,wind,0,40,12
125,398,N,10,15,wind,0,58.32,12
126,747,N,10,15,wind,0,75,12
127,747,N,10,15,wind,0,66,12
128,747,N,10,15,wind,0,70.5,12
129,410,N,10,15,wind,0,105.6,12
130,410,N,10,15,wind,0,44,12
131,604,N,10,15,wind,0,63,12
132,717,N,10,15,wind,0,138,12
133,839,N,10,15,hydro,0,490,8
134,685,N,10,15,wind,0,167,12
135,140,N,10,15,hydro,0,84,8
136,1095,N,10,15,wind,0,350,12
137,348,N,10,15,wind,0,100,12
138,602,N,10,15,wind,0,156,12
139,602,N,10,15,wind,0,147,12
140,635,N,10,15,wind,0,150,12
141,180,N,10,15,wind,0,24,12
142,1223,N,10,15,wind,0,80,12
143,628,N,10,15,wind,0,24.6,12
144,167,N,10,15,wind,0,24,12
145,759,N,10,15,wind,0,109,12
146,357,N,10,15,wind,0,58.5,12
147,628,N,10,15,wind,0,300,12
148,158,N,10,15,wind,0,75.2,12
149,906,N,10,15,wind,0,138.6,12
150,328,N,10,15,wind,0,364,12
151,55,N,10,15,wind,0,101.2,12
152,333,N,10,15,wind,0,39.6,12
153,441,N,10,15,wind,0,150,12
154,686,N,10,15,hydro,0,604,8
155,499,N,10,15,hydro,0,478,8
156,699,N,10,15,wind,0,10,12
157,110,N,10,15,wind,0,9.9,12
158,337,N,10,15,wind,0,99,12
159,103,N,10,15,wind,0,9.9,12
160,579,N,10,15,wind,0,270,12
161,580,N,10,15,wind,0,78,12
162,577,N,10,15,wind,0,10,12
163,1241,N,10,15,wind,0,10,12
164,491,N,10,15,wind,0,134,12
165,601,N,10,15,wind,0,67.8,12
