id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
1,SS_256,SS_33,230,81.3,0.04441,558
2,SS_373,VS_857,230,432.5,0.23629,1115
3,SS_239,SS_156,230,21.6,0.01181,558
4,VS_858,VS_859,230,80,0.0437,558
5,VS_858,VS_859,230,80,0.04371,558
6,SS_35,SS_61,230,14.3,0.00781,558
7,VS_860,SS_257,230,5.8,0.00316,558
8,SS_78,SS_83,230,25.3,0.01381,558
9,SS_89,SS_61,230,6,0.00326,558
10,SS_21,SS_45,315,6.3,0.00128,928
11,SS_22,SS_585,360,120.6,0.02689,873
12,SS_22,SS_23,360,15.6,0.00349,873
13,SS_28,SS_196,500,406.3,0.02048,2078
14,SS_28,SS_26,500,75.8,0.00382,1039
15,SS_24,SS_26,230,36.5,0.01994,558
16,SS_49,SS_239,230,33.2,0.01815,558
17,SS_239,VS_861,230,14,0.00764,558
18,SS_27,SS_573,230,14.1,0.00772,558
19,SS_28,VS_862,500,55.1,0.00278,1039
20,SS_30,VS_863,230,1.2,0.00064,558
21,SS_28,SS_37,500,29.9,0.00151,1039
22,SS_49,SS_239,230,33.3,0.01822,558
23,SS_35,SS_61,230,14.3,0.00781,558
24,SS_79,SS_78,230,8.9,0.00489,558
25,SS_78,SS_79,230,8.9,0.00488,558
26,SS_210,SS_126,500,96.1,0.00484,1039
27,SS_41,VS_864,315,35.3,0.00711,928
28,SS_78,VS_860,230,36.7,0.02007,558
29,SS_78,VS_860,230,36.5,0.01995,558
30,SS_16,SS_377,500,77.6,0.00391,1039
31,VS_865,VS_866,230,22.7,0.01241,558
32,VS_867,VS_868,230,3.1,0.00169,558
33,SS_39,VS_869,315,3.1,0.00062,928
34,SS_49,VS_870,230,14.1,0.00771,558
35,SS_291,SS_854,500,15.8,0.00079,1039
36,VS_871,SS_210,230,14.5,0.00792,558
37,SS_854,SS_291,500,15.8,0.0008,1039
38,SS_854,SS_291,500,15.8,0.0008,1039
39,SS_291,SS_854,500,15.8,0.0008,1039
40,SS_85,SS_853,230,13.9,0.00759,558
41,SS_52,VS_872,500,1,5.00E-05,1039
42,SS_92,SS_291,230,3.9,0.00215,558
43,SS_49,VS_873,230,17.5,0.00955,558
44,SS_49,SS_78,230,29.8,0.01627,558
45,VS_869,SS_21,315,2.1,0.00041,928
46,SS_57,SS_45,735,34.6,0.00064,1910
47,SS_156,SS_265,230,22.6,0.01232,558
48,VS_874,SS_34,230,2.1,0.00114,558
49,SS_854,SS_210,500,6.7,0.00034,1039
50,SS_210,SS_854,230,7,0.00383,558
51,SS_210,SS_78,230,12.9,0.00705,558
52,VS_877,SS_253,230,17.6,0.00964,558
53,SS_37,SS_196,500,382.9,0.0193,1039
54,SS_72,VS_878,230,2.2,0.00119,558
55,SS_523,VS_878,230,64.8,0.03539,558
56,SS_214,SS_73,230,107.8,0.05891,558
57,SS_73,SS_237,230,6.4,0.00351,558
58,VS_879,SS_52,500,0.8,4.00E-05,1039
59,VS_879,SS_52,500,0.8,4.00E-05,1039
60,VS_879,SS_52,500,0.8,4.00E-05,1039
61,VS_879,SS_52,500,0.8,4.00E-05,1039
62,VS_879,SS_52,500,0.8,4.00E-05,1039
63,VS_879,SS_52,500,0.8,4.00E-05,1039
64,VS_879,SS_52,500,0.8,4.00E-05,1039
65,VS_879,SS_52,500,0.8,4.00E-05,1039
66,SS_95,SS_475,735,432.7,0.00801,3819
67,SS_487,SS_95,735,25.6,0.00047,1910
68,SS_475,SS_367,735,51.1,0.00095,1910
69,SS_474,SS_367,735,358.1,0.00663,1910
70,SS_312,SS_474,735,193.5,0.00358,1910
71,VS_880,SS_471,735,2.6,5.00E-05,1910
72,SS_471,SS_367,735,437.6,0.0081,3819
73,SS_487,SS_475,735,456.6,0.00845,3819
74,SS_475,SS_330,735,344.7,0.00638,1910
75,SS_95,SS_470,315,100,0.02015,928
76,SS_471,SS_487,735,261.5,0.00484,1910
77,SS_478,SS_472,315,94.2,0.01898,928
78,SS_472,SS_473,315,183,0.03689,928
79,VS_873,SS_291,230,11.4,0.00625,558
80,SS_312,SS_473,315,141.2,0.02846,928
81,SS_122,SS_97,230,36.6,0.02001,558
82,VS_881,SS_98,230,103.7,0.05664,558
83,SS_735,VS_882,230,10.2,0.00559,558
84,VS_881,SS_127,230,39.5,0.02157,558
85,SS_141,VS_883,230,24.9,0.01359,558
86,SS_13,SS_141,230,92.9,0.05076,558
87,SS_92,SS_59,230,7.7,0.00422,558
88,VS_884,SS_107,230,1.2,0.00063,558
89,SS_108,VS_884,230,3.2,0.00175,558
90,SS_106,SS_105,230,2.1,0.00113,558
91,VS_885,VS_886,230,3.4,0.00188,558
92,VS_885,VS_886,230,3.2,0.00174,558
93,VS_885,VS_886,230,3.4,0.00183,558
94,VS_885,VS_886,230,3.3,0.00178,558
95,SS_494,SS_666,230,126.8,0.06927,558
96,SS_121,SS_306,230,211.2,0.11539,558
97,VS_888,VS_889,230,374.5,0.20458,558
98,VS_890,SS_125,230,95.7,0.05228,558
99,SS_587,VS_891,230,1.1,0.00062,558
100,SS_126,SS_308,230,14.6,0.00799,558
101,SS_450,VS_892,230,283.2,0.1547,558
102,SS_44,SS_450,230,111.2,0.06075,558
103,SS_450,VS_893,230,107.2,0.05855,558
104,SS_91,VS_894,315,1.6,0.00032,928
105,SS_57,SS_781,735,22.2,0.00041,1910
106,SS_57,VS_895,230,5.2,0.00284,558
107,SS_57,SS_135,230,21.1,0.01154,558
108,SS_7,SS_57,735,74.6,0.00138,1910
109,SS_165,SS_45,735,190.4,0.00353,1910
110,VS_896,SS_443,230,5.1,0.00276,558
111,VS_896,SS_443,230,5,0.00274,558
112,VS_897,VS_858,230,3.8,0.00206,558
113,VS_897,SS_443,230,9.8,0.00534,558
114,VS_898,SS_128,230,4.6,0.00251,558
115,SS_852,SS_79,230,1.4,0.00076,558
116,SS_133,SS_737,735,8.2,0.00015,1910
117,SS_133,SS_155,735,382,0.00707,1910
118,VS_899,SS_133,315,21,0.00423,928
119,VS_900,SS_130,230,20.4,0.01113,558
120,SS_134,VS_901,315,5.9,0.00119,928
121,SS_3,VS_902,220,1.9,0.00112,533
122,VS_903,SS_43,230,3.5,0.00194,558
123,VS_903,SS_43,230,3.6,0.00194,558
124,SS_179,SS_665,230,283.6,0.15493,558
125,SS_744,SS_630,230,21.4,0.01169,558
126,SS_8,SS_264,500,495.7,0.02498,2078
127,VS_896,SS_443,230,5.1,0.00279,558
128,VS_896,SS_443,230,5.1,0.00281,558
129,SS_147,SS_299,230,45.3,0.02476,558
130,SS_149,SS_284,315,39.2,0.00789,928
131,SS_149,SS_150,315,32.9,0.00663,928
132,SS_311,SS_149,735,111.4,0.00206,1910
133,SS_682,SS_151,230,84.3,0.04608,558
134,SS_158,SS_151,315,144.5,0.02913,928
135,SS_151,VS_906,315,111,0.02237,928
136,SS_155,SS_305,735,177.4,0.00328,1910
137,SS_151,SS_489,230,78.8,0.04305,558
138,SS_151,VS_907,230,11.6,0.00635,558
139,SS_154,VS_908,230,1.4,0.00076,558
140,SS_154,SS_41,735,39.4,0.00073,1910
141,SS_731,SS_665,230,153.8,0.08403,558
142,SS_192,VS_909,735,26.3,0.00049,1910
143,SS_512,VS_910,230,1,0.00052,558
144,SS_67,VS_913,240,6.5,0.00281,624
145,SS_682,SS_151,230,84.2,0.04602,558
146,SS_688,SS_731,230,70.7,0.03863,558
147,SS_159,VS_914,230,1,0.00053,558
148,SS_163,SS_10,230,49,0.02678,558
