hour,demand_factor,wind_cf,solar_cf,weight
1,0.569898368,0.476,0.1,26
2,0.55771096,0.470,0.024,26
3,0.536667651,0.462,0.001,26
4,0.532577067,0.456,0,26
5,0.532408384,0.451,0,26
6,0.532872264,0.450,0,26
7,0.550373213,0.450,0,26
8,0.564922195,0.449,0,26
9,0.580820647,0.449,0,26
10,0.591869439,0.443,0,26
11,0.606460591,0.434,0,26
12,0.6314258,0.437,0.001,26
13,0.645131363,0.450,0.023,26
14,0.654451145,0.465,0.101,26
15,0.661662379,0.478,0.237,26
16,0.67309071,0.485,0.384,26
17,0.680259773,0.490,0.499,26
18,0.704465905,0.496,0.575,26
19,0.685320288,0.503,0.612,26
20,0.673891958,0.509,0.605,26
21,0.656137983,0.508,0.559,26
22,0.6353477,0.502,0.471,26
23,0.604605069,0.489,0.361,26
24,0.578712099,0.477,0.227,26
25,0.556951883,0.630,0.008,26
26,0.537890609,0.626,0.000,26
27,0.536583309,0.622,0.000,26
28,0.531480622,0.626,0.000,26
29,0.532787922,0.632,0.000,26
30,0.553114325,0.634,0.000,26
31,0.585923333,0.630,0.000,26
32,0.610677687,0.624,0.000,26
33,0.635642896,0.633,0.000,26
34,0.652342597,0.640,0.000,26
35,0.667186775,0.643,0.000,26
36,0.670982162,0.640,0.000,26
37,0.663096192,0.642,0.000,26
38,0.665963817,0.642,0.006,26
39,0.683802134,0.645,0.045,26
40,0.69282672,0.649,0.128,26
41,0.722430734,0.652,0.258,26
42,0.752203433,0.653,0.411,26
43,0.737696622,0.653,0.509,26
44,0.725256189,0.650,0.541,26
45,0.710369839,0.648,0.502,26
46,0.681988783,0.641,0.402,26
47,0.647956817,0.635,0.261,26
48,0.615653861,0.633,0.109,26
49,0.599333699,0.476,0.1,26
50,0.584109982,0.470,0.024,26
51,0.569814026,0.462,0.001,26
52,0.566060811,0.456,0,26
53,0.573820267,0.451,0,26
54,0.5914899,0.450,0,26
55,0.638468351,0.450,0,26
56,0.67574748,0.449,0,26
57,0.699616244,0.449,0,26
58,0.711381942,0.443,0,26
59,0.739088264,0.434,0,26
60,0.745835618,0.437,0.001,26
61,0.738244845,0.450,0.023,26
62,0.742546283,0.465,0.101,26
63,0.74815502,0.478,0.237,26
64,0.752161262,0.485,0.384,26
65,0.76831274,0.490,0.499,26
66,0.795217813,0.496,0.575,26
67,0.772782862,0.503,0.612,26
68,0.761143676,0.509,0.605,26
69,0.743516215,0.508,0.559,26
70,0.715008645,0.502,0.471,26
71,0.680765825,0.489,0.361,26
72,0.649896681,0.477,0.227,26
73,0.624214566,0.630,0.008,26
74,0.595496141,0.626,0.000,26
75,0.591405558,0.622,0.000,26
76,0.588074052,0.626,0.000,26
77,0.590393455,0.632,0.000,26
78,0.609960781,0.634,0.000,26
79,0.648167672,0.630,0.000,26
80,0.67924767,0.624,0.000,26
81,0.709315565,0.633,0.000,26
82,0.733563868,0.640,0.000,26
83,0.744992198,0.643,0.000,26
84,0.761185847,0.640,0.000,26
85,0.761228018,0.642,0.000,26
86,0.763673934,0.642,0.006,26
87,0.756757897,0.645,0.045,26
88,0.767933201,0.649,0.128,26
89,0.787374014,0.652,0.258,26
90,0.812507907,0.653,0.411,26
91,0.788343946,0.653,0.509,26
92,0.768017543,0.650,0.541,26
93,0.749715346,0.648,0.502,26
94,0.720322186,0.641,0.402,26
95,0.693501455,0.635,0.261,26
96,0.656770548,0.633,0.109,26
97,0.622274702,0.476,0.1,26
98,0.606123224,0.47,0.024,26
99,0.595833509,0.462,0.001,26
100,0.599713237,0.456,0,26
101,0.608779994,0.451,0,26
102,0.627714756,0.45,0,26
103,0.661367183,0.45,0,26
104,0.696959474,0.449,0,26
105,0.726816514,0.449,0,26
106,0.743684899,0.443,0,26
107,0.753721587,0.434,0,26
108,0.767764517,0.437,0.001,26
109,0.769409185,0.45,0.023,26
110,0.763252225,0.465,0.101,26
111,0.762366634,0.478,0.237,26
112,0.772023784,0.485,0.384,26
113,0.784885928,0.49,0.499,26
114,0.803567663,0.496,0.575,26
115,0.786446253,0.503,0.612,26
116,0.767216295,0.509,0.605,26
117,0.757474803,0.508,0.559,26
118,0.727997301,0.502,0.471,26
119,0.691898958,0.489,0.361,26
120,0.658330873,0.477,0.227,26
121,0.635474212,0.63,0.008,26
122,0.614515245,0.626,0.000,26
123,0.602960401,0.622,0.000,26
124,0.599333699,0.626,0.000,26
125,0.602074811,0.632,0.000,26
126,0.626533969,0.634,0.000,26
127,0.663180534,0.63,0.000,26
128,0.699953612,0.624,0.000,26
129,0.731075781,0.633,0.000,26
130,0.74988403,0.64,0.000,26
131,0.755830135,0.643,0.000,26
132,0.760721967,0.64,0.000,26
133,0.755956648,0.642,0.000,26
134,0.748871927,0.642,0.006,26
135,0.744528318,0.645,0.045,26
136,0.746679037,0.649,0.128,26
137,0.761354531,0.652,0.258,26
138,0.77796989,0.653,0.411,26
139,0.76392696,0.653,0.509,26
140,0.753173365,0.65,0.541,26
141,0.740353393,0.648,0.502,26
142,0.716611142,0.641,0.402,26
143,0.684603382,0.635,0.261,26
144,0.643360182,0.633,0.109,26
145,0.61738287,0.476,0.1,26
146,0.599038502,0.47,0.024,26
147,0.594020158,0.462,0.001,26
148,0.58668241,0.456,0,26
149,0.589043984,0.451,0,26
150,0.593598448,0.45,0,26
151,0.612954919,0.45,0,26
152,0.642601105,0.449,0,26
153,0.666174672,0.449,0,26
154,0.684476869,0.443,0,26
155,0.706237085,0.434,0,26
156,0.707249188,0.437,0.001,26
157,0.705224982,0.45,0.023,26
158,0.699321048,0.465,0.101,26
159,0.701303083,0.478,0.237,26
160,0.711424113,0.485,0.384,26
161,0.738371357,0.49,0.499,26
162,0.77619871,0.496,0.575,26
163,0.773752794,0.503,0.612,26
164,0.757095264,0.509,0.605,26
165,0.74199806,0.508,0.559,26
166,0.717032851,0.502,0.471,26
167,0.689832581,0.489,0.361,26
168,0.65951166,0.477,0.227,26
169,0.638341838,0.63,0.008,26
170,0.621937334,0.626,0.000,26
171,0.612448868,0.622,0.000,26
172,0.606924472,0.626,0.000,26
173,0.606376249,0.632,0.000,26
174,0.616244254,0.634,0.000,26
175,0.633660861,0.63,0.000,26
176,0.655505419,0.624,0.000,26
177,0.6752836,0.633,0.000,26
178,0.697887235,0.64,0.000,26
179,0.720786067,0.643,0.000,26
180,0.730443217,0.64,0.000,26
181,0.733563868,0.642,0.000,26
182,0.73276262,0.642,0.006,26
183,0.736853203,0.645,0.045,26
184,0.747480285,0.649,0.128,26
185,0.772909375,0.652,0.258,26
186,0.807658247,0.653,0.411,26
187,0.787837895,0.653,0.509,26
