type,line_id,year,hour,flow_mw
existing,1,1,1,738.5913886645012
existing,1,1,2,649.430131703501
existing,1,1,3,495.4804202530031
existing,1,1,4,465.5543282425042
existing,1,1,5,464.3202590740034
existing,1,1,6,467.71394153050323
existing,1,1,7,595.748268703001
existing,1,1,8,702.1864443790018
existing,1,1,9,818.497148581001
existing,1,1,10,899.3284650280038
existing,1,1,11,1000.0
existing,1,1,12,1000.0
existing,1,1,13,1000.0
existing,1,1,14,1000.0
existing,1,1,15,1000.0
existing,1,1,16,1000.0
existing,1,1,17,1000.0
existing,1,1,18,1000.0
existing,1,1,19,1000.0
existing,1,1,20,1000.0
existing,1,1,21,1000.0
existing,1,1,22,1000.0
existing,1,1,23,992.5004297215032
existing,1,1,24,803.071330516002
existing,1,1,25,643.8768359590024
existing,1,1,26,504.42739845400365
existing,1,1,27,494.86338877150274
existing,1,1,28,457.5329003665033
existing,1,1,29,467.0969100490038
existing,1,1,30,615.8018383930023
existing,1,1,31,855.8276431915024
existing,1,1,32,1000.0
existing,1,1,33,1000.0
existing,1,1,34,1000.0
existing,1,1,35,1000.0
existing,1,1,36,1000.0
existing,1,1,37,1000.0
existing,1,1,38,1000.0
existing,1,1,39,1000.0
existing,1,1,40,1000.0
existing,1,1,41,1000.0
existing,1,1,42,1000.0
existing,1,1,43,1000.0
existing,1,1,44,1000.0
existing,1,1,45,1000.0
existing,1,1,46,1000.0
existing,1,1,47,1000.0
existing,1,1,48,1000.0
existing,1,2,1,1000.0
existing,1,2,2,1000.0
existing,1,2,3,888.0984622783039
existing,1,2,4,855.1797610667545
existing,1,2,5,853.8222849814033
existing,1,2,6,857.5553356835544
existing,1,2,7,998.3930955733044
existing,1,2,8,1000.0
existing,1,2,9,1000.0
existing,1,2,10,1000.0
existing,1,2,11,1000.0
existing,1,2,12,1000.0
existing,1,2,13,1000.0
existing,1,2,14,1000.0
existing,1,2,15,1000.0
existing,1,2,16,1000.0
existing,1,2,17,1000.0
existing,1,2,18,1000.0
existing,1,2,19,1000.0
existing,1,2,20,1000.0
existing,1,2,21,1000.0
existing,1,2,22,1000.0
existing,1,2,23,1000.0
existing,1,2,24,1000.0
existing,1,2,25,1000.0
existing,1,2,26,897.9401382994038
existing,1,2,27,887.4197276486539
existing,1,2,28,846.3561904031533
existing,1,2,29,856.8766010539039
existing,1,2,30,1000.0
existing,1,2,31,1000.0
existing,1,2,32,1000.0
existing,1,2,33,1000.0
existing,1,2,34,1000.0
existing,1,2,35,1000.0
existing,1,2,36,1000.0
existing,1,2,37,1000.0
existing,1,2,38,1000.0
existing,1,2,39,1000.0
existing,1,2,40,1000.0
existing,1,2,41,1000.0
existing,1,2,42,1000.0
existing,1,2,43,1000.0
existing,1,2,44,1000.0
existing,1,2,45,1000.0
existing,1,2,46,1000.0
existing,1,2,47,1000.0
existing,1,2,48,1000.0
existing,1,3,1,1000.0
existing,1,3,2,1000.0
existing,1,3,3,1000.0
existing,1,3,4,1000.0
existing,1,3,5,1000.0
existing,1,3,6,1000.0
existing,1,3,7,1000.0
existing,1,3,8,1000.0
existing,1,3,9,1000.0
existing,1,3,10,1000.0
existing,1,3,11,1000.0
existing,1,3,12,1000.0
existing,1,3,13,1000.0
existing,1,3,14,1000.0
existing,1,3,15,1000.0
existing,1,3,16,1000.0
existing,1,3,17,1000.0
existing,1,3,18,1000.0
existing,1,3,19,1000.0
existing,1,3,20,1000.0
existing,1,3,21,1000.0
existing,1,3,22,1000.0
existing,1,3,23,1000.0
existing,1,3,24,1000.0
existing,1,3,25,1000.0
existing,1,3,26,1000.0
existing,1,3,27,1000.0
existing,1,3,28,1000.0
existing,1,3,29,1000.0
existing,1,3,30,1000.0
existing,1,3,31,1000.0
existing,1,3,32,1000.0
existing,1,3,33,1000.0
existing,1,3,34,1000.0
existing,1,3,35,1000.0
existing,1,3,36,1000.0
existing,1,3,37,1000.0
existing,1,3,38,1000.0
existing,1,3,39,1000.0
existing,1,3,40,1000.0
existing,1,3,41,1000.0
existing,1,3,42,1000.0
existing,1,3,43,1000.0
existing,1,3,44,1000.0
existing,1,3,45,1000.0
existing,1,3,46,1000.0
existing,1,3,47,1000.0
existing,1,3,48,1000.0
existing,1,4,1,1000.0
existing,1,4,2,1000.0
existing,1,4,3,1000.0
existing,1,4,4,1000.0
existing,1,4,5,1000.0
existing,1,4,6,1000.0
existing,1,4,7,1000.0
existing,1,4,8,1000.0
existing,1,4,9,1000.0
existing,1,4,10,1000.0
existing,1,4,11,1000.0
existing,1,4,12,1000.0
existing,1,4,13,1000.0
existing,1,4,14,1000.0
existing,1,4,15,1000.0
existing,1,4,16,1000.0
existing,1,4,17,1000.0
existing,1,4,18,1000.0
existing,1,4,19,1000.0
existing,1,4,20,1000.0
existing,1,4,21,1000.0
existing,1,4,22,1000.0
existing,1,4,23,1000.0
existing,1,4,24,1000.0
existing,1,4,25,1000.0
existing,1,4,26,1000.0
existing,1,4,27,1000.0
existing,1,4,28,1000.0
existing,1,4,29,1000.0
existing,1,4,30,1000.0
existing,1,4,31,1000.0
existing,1,4,32,1000.0
existing,1,4,33,1000.0
existing,1,4,34,1000.0
existing,1,4,35,1000.0
existing,1,4,36,1000.0
existing,1,4,37,1000.0
existing,1,4,38,1000.0
existing,1,4,39,1000.0
existing,1,4,40,1000.0
existing,1,4,41,859.5136247327032
existing,1,4,42,600.4701743446035
existing,1,4,43,726.689649852321
existing,1,4,44,834.9301825204943
existing,1,4,45,964.4519077145437
existing,1,4,46,1000.0
existing,1,4,47,1000.0
existing,1,4,48,1000.0
existing,1,5,1,1000.0
existing,1,5,2,1000.0
existing,1,5,3,1000.0
existing,1,5,4,1000.0
existing,1,5,5,1000.0
existing,1,5,6,1000.0
existing,1,5,7,1000.0
existing,1,5,8,1000.0
existing,1,5,9,1000.0
existing,1,5,10,1000.0
existing,1,5,11,1000.0
existing,1,5,12,1000.0
existing,1,5,13,983.424004137255
existing,1,5,14,894.4093703843746
existing,1,5,15,825.5337959112339
existing,1,5,16,716.3801028786122
existing,1,5,17,647.9073126696544
existing,1,5,18,416.7109354706786
existing,1,5,19,599.5735736388951
existing,1,5,20,708.7272666715144
existing,1,5,21,878.2981294418141
existing,1,5,22,1000.0
existing,1,5,23,1000.0
existing,1,5,24,1000.0
existing,1,5,25,1000.0
existing,1,5,26,1000.0
existing,1,5,27,1000.0
existing,1,5,28,1000.0
existing,1,5,29,1000.0
existing,1,5,30,1000.0
existing,1,5,31,1000.0
existing,1,5,32,1000.0
existing,1,5,33,1000.0
existing,1,5,34,914.5484296641121
existing,1,5,35,772.7694623806528
existing,1,5,36,736.5191621583535
existing,1,5,37,811.8392362491338
existing,1,5,38,784.450116924934
existing,1,5,39,614.0736937278161
existing,1,5,40,527.8785255195762
existing,1,5,41,245.12615948101734
existing,1,5,42,-39.237327411180104
existing,1,5,43,99.3193900634592
existing,1,5,44,-19.46017557900086
existing,1,5,45,122.72156786709638
existing,1,5,46,631.3932793613765
existing,1,5,47,956.4376690772356
existing,1,5,48,1000.0
existing,1,6,1,1000.0
existing,1,6,2,1000.0
existing,1,6,3,1000.0
existing,1,6,4,1000.0
existing,1,6,5,1000.0
existing,1,6,6,1000.0
existing,1,6,7,1000.0
existing,1,6,8,1000.0
existing,1,6,9,1000.0
existing,1,6,10,911.345488932558
existing,1,6,11,757.6651687809467
existing,1,6,12,494.72080990291147
existing,1,6,13,112.76790867190948
existing,1,6,14,14.607935834828595
existing,1,6,15,-61.34389628966187
existing,1,6,16,-181.7120098393318
existing,1,6,17,-257.219675754691
existing,1,6,18,-512.16910540562
existing,1,6,19,-310.5192098913511
existing,1,6,20,-190.1510963416813
existing,1,6,21,-3.158569588131286
existing,1,6,22,453.41367407386133
existing,1,6,23,777.2083390404277
existing,1,6,24,1000.0
existing,1,6,25,1000.0
existing,1,6,26,1000.0
existing,1,6,27,1000.0
existing,1,6,28,1000.0
existing,1,6,29,1000.0
existing,1,6,30,1000.0
existing,1,6,31,973.9724419898266
existing,1,6,32,713.2488962896589
existing,1,6,33,450.30453741162137
existing,1,6,34,36.81607654741856
