type,id,year,hour,dispatch_mw
existing,1,1,1,2.5
existing,1,1,2,2.5
existing,1,1,3,2.5
existing,1,1,4,2.5
existing,1,1,5,2.5
existing,1,1,6,2.5
existing,1,1,7,2.5
existing,1,1,8,2.5
existing,1,1,9,2.5
existing,1,1,10,2.5
existing,1,1,11,2.5
existing,1,1,12,2.5
existing,1,1,13,2.5
existing,1,1,14,2.5
existing,1,1,15,2.5
existing,1,1,16,2.5
existing,1,1,17,2.5
existing,1,1,18,2.5
existing,1,1,19,2.5
existing,1,1,20,2.5
existing,1,1,21,2.5
existing,1,1,22,2.5
existing,1,1,23,2.5
existing,1,1,24,2.5
existing,1,2,1,2.5
existing,1,2,2,2.5
existing,1,2,3,2.5
existing,1,2,4,2.5
existing,1,2,5,2.5
existing,1,2,6,2.5
existing,1,2,7,2.5
existing,1,2,8,2.5
existing,1,2,9,2.5
existing,1,2,10,2.5
existing,1,2,11,2.5
existing,1,2,12,2.5
existing,1,2,13,2.5
existing,1,2,14,2.5
existing,1,2,15,2.5
existing,1,2,16,2.5
existing,1,2,17,2.5
existing,1,2,18,2.5
existing,1,2,19,2.5
existing,1,2,20,2.5
existing,1,2,21,2.5
existing,1,2,22,2.5
existing,1,2,23,2.5
existing,1,2,24,2.5
existing,1,3,1,2.5
existing,1,3,2,2.5
existing,1,3,3,2.5
existing,1,3,4,2.5
existing,1,3,5,2.5
existing,1,3,6,2.5
existing,1,3,7,2.5
existing,1,3,8,2.5
existing,1,3,9,2.5
existing,1,3,10,2.5
existing,1,3,11,2.5
existing,1,3,12,2.5
existing,1,3,13,2.5
existing,1,3,14,2.5
existing,1,3,15,2.5
existing,1,3,16,2.5
existing,1,3,17,2.5
existing,1,3,18,2.5
existing,1,3,19,2.5
existing,1,3,20,2.5
existing,1,3,21,2.5
existing,1,3,22,2.5
existing,1,3,23,2.5
existing,1,3,24,2.5
existing,1,4,1,2.5
existing,1,4,2,2.5
existing,1,4,3,2.5
existing,1,4,4,2.5
existing,1,4,5,2.5
existing,1,4,6,2.5
existing,1,4,7,2.5
existing,1,4,8,2.5
existing,1,4,9,2.5
existing,1,4,10,2.5
existing,1,4,11,2.5
existing,1,4,12,2.5
existing,1,4,13,2.5
existing,1,4,14,2.5
existing,1,4,15,2.5
existing,1,4,16,2.5
existing,1,4,17,2.5
existing,1,4,18,2.5
existing,1,4,19,2.5
existing,1,4,20,2.5
existing,1,4,21,2.5
existing,1,4,22,2.5
existing,1,4,23,2.5
existing,1,4,24,2.5
existing,1,5,1,2.5
existing,1,5,2,2.5
existing,1,5,3,2.5
existing,1,5,4,2.5
existing,1,5,5,2.5
existing,1,5,6,2.5
existing,1,5,7,2.5
existing,1,5,8,2.5
existing,1,5,9,2.5
existing,1,5,10,2.5
existing,1,5,11,2.5
existing,1,5,12,2.5
existing,1,5,13,2.5
existing,1,5,14,2.5
existing,1,5,15,2.5
existing,1,5,16,2.5
existing,1,5,17,2.5
existing,1,5,18,2.5
existing,1,5,19,2.5
existing,1,5,20,2.5
existing,1,5,21,2.5
existing,1,5,22,2.5
existing,1,5,23,2.5
existing,1,5,24,2.5
existing,1,6,1,2.05
existing,1,6,2,2.05
existing,1,6,3,2.05
existing,1,6,4,2.05
existing,1,6,5,2.05
existing,1,6,6,2.05
existing,1,6,7,2.05
existing,1,6,8,2.05
existing,1,6,9,2.05
existing,1,6,10,2.05
existing,1,6,11,2.05
existing,1,6,12,2.05
existing,1,6,13,2.05
existing,1,6,14,2.05
existing,1,6,15,2.05
existing,1,6,16,2.05
existing,1,6,17,2.05
existing,1,6,18,2.05
existing,1,6,19,2.05
existing,1,6,20,2.05
existing,1,6,21,2.05
existing,1,6,22,2.05
existing,1,6,23,2.05
existing,1,6,24,2.05
existing,2,1,1,0.0
existing,2,1,2,0.0
existing,2,1,3,0.0
existing,2,1,4,0.0
existing,2,1,5,0.0
existing,2,1,6,0.0
existing,2,1,7,0.0
existing,2,1,8,0.0
existing,2,1,9,0.0
existing,2,1,10,0.0
existing,2,1,11,0.0
existing,2,1,12,0.0
existing,2,1,13,0.0
existing,2,1,14,0.0
existing,2,1,15,0.0
existing,2,1,16,0.0
existing,2,1,17,0.0
existing,2,1,18,0.0
existing,2,1,19,0.0
existing,2,1,20,0.0
existing,2,1,21,0.0
existing,2,1,22,0.0
existing,2,1,23,0.0
existing,2,1,24,0.0
existing,2,2,1,0.0
existing,2,2,2,0.0
existing,2,2,3,0.0
existing,2,2,4,0.0
existing,2,2,5,0.0
existing,2,2,6,0.0
existing,2,2,7,0.0
existing,2,2,8,0.0
existing,2,2,9,0.0
existing,2,2,10,0.0
existing,2,2,11,0.0
existing,2,2,12,0.0
existing,2,2,13,0.0
existing,2,2,14,0.0
existing,2,2,15,0.0
existing,2,2,16,0.0
existing,2,2,17,0.0
existing,2,2,18,0.0
existing,2,2,19,0.0
existing,2,2,20,0.0
existing,2,2,21,0.0
existing,2,2,22,0.0
existing,2,2,23,0.0
existing,2,2,24,0.0
existing,2,3,1,0.0
existing,2,3,2,0.0
existing,2,3,3,0.0
existing,2,3,4,0.0
existing,2,3,5,0.0
existing,2,3,6,0.0
existing,2,3,7,0.0
existing,2,3,8,0.0
existing,2,3,9,0.0
existing,2,3,10,0.0
existing,2,3,11,0.0
existing,2,3,12,0.0
existing,2,3,13,0.0
existing,2,3,14,0.0
existing,2,3,15,0.0
existing,2,3,16,0.0
existing,2,3,17,0.0
existing,2,3,18,0.0
existing,2,3,19,0.0
existing,2,3,20,0.0
existing,2,3,21,0.0
existing,2,3,22,0.0
existing,2,3,23,0.0
existing,2,3,24,0.0
existing,2,4,1,0.0
existing,2,4,2,0.0
existing,2,4,3,0.0
existing,2,4,4,0.0
existing,2,4,5,0.0
existing,2,4,6,0.0
existing,2,4,7,0.0
existing,2,4,8,0.0
existing,2,4,9,0.0
existing,2,4,10,0.0
existing,2,4,11,0.0
existing,2,4,12,0.0
existing,2,4,13,0.0
existing,2,4,14,0.0
existing,2,4,15,0.0
existing,2,4,16,0.0
existing,2,4,17,0.0
existing,2,4,18,0.0
existing,2,4,19,0.0
existing,2,4,20,0.0
existing,2,4,21,0.0
existing,2,4,22,0.0
existing,2,4,23,0.0
existing,2,4,24,0.0
existing,2,5,1,0.0
existing,2,5,2,0.0
existing,2,5,3,0.0
existing,2,5,4,0.0
existing,2,5,5,0.0
existing,2,5,6,0.0
existing,2,5,7,0.0
existing,2,5,8,0.0
existing,2,5,9,0.0
existing,2,5,10,0.0
existing,2,5,11,0.0
existing,2,5,12,0.0
existing,2,5,13,0.0
existing,2,5,14,0.0
existing,2,5,15,0.0
existing,2,5,16,0.0
existing,2,5,17,0.0
existing,2,5,18,0.0
existing,2,5,19,0.0
existing,2,5,20,0.0
existing,2,5,21,0.0
existing,2,5,22,0.0
existing,2,5,23,0.0
existing,2,5,24,0.0
existing,2,6,1,0.8999999999999999
existing,2,6,2,0.8999999999999999
existing,2,6,3,0.8999999999999999
existing,2,6,4,0.8999999999999999
existing,2,6,5,0.8999999999999999
existing,2,6,6,0.8999999999999999
existing,2,6,7,0.8999999999999999
existing,2,6,8,0.8999999999999999
existing,2,6,9,0.8999999999999999
existing,2,6,10,0.8999999999999999
existing,2,6,11,0.8999999999999999
existing,2,6,12,0.8999999999999999
existing,2,6,13,0.8999999999999999
existing,2,6,14,0.8999999999999999
existing,2,6,15,0.8999999999999999
existing,2,6,16,0.8999999999999999
existing,2,6,17,0.8999999999999999
existing,2,6,18,0.8999999999999999
existing,2,6,19,0.8999999999999999
existing,2,6,20,0.8999999999999999
existing,2,6,21,0.8999999999999999
existing,2,6,22,0.8999999999999999
existing,2,6,23,0.8999999999999999
existing,2,6,24,0.8999999999999999
candidate,1,1,1,0.5
candidate,1,1,2,0.5
candidate,1,1,3,0.5
candidate,1,1,4,0.5
candidate,1,1,5,0.5
candidate,1,1,6,0.5
candidate,1,1,7,0.5
candidate,1,1,8,0.5
candidate,1,1,9,0.5
candidate,1,1,10,0.5
candidate,1,1,11,0.5
candidate,1,1,12,0.5
candidate,1,1,13,0.5
candidate,1,1,14,0.5
candidate,1,1,15,0.5
candidate,1,1,16,0.5
candidate,1,1,17,0.5
candidate,1,1,18,0.5
candidate,1,1,19,0.5
candidate,1,1,20,0.5
candidate,1,1,21,0.5
candidate,1,1,22,0.5
candidate,1,1,23,0.5
candidate,1,1,24,0.5
candidate,1,2,1,0.8
candidate,1,2,2,0.8
candidate,1,2,3,0.8
candidate,1,2,4,0.8
candidate,1,2,5,0.8
candidate,1,2,6,0.8
candidate,1,2,7,0.8
candidate,1,2,8,0.8
candidate,1,2,9,0.8
candidate,1,2,10,0.8
candidate,1,2,11,0.8
candidate,1,2,12,0.8
candidate,1,2,13,0.8
candidate,1,2,14,0.8
candidate,1,2,15,0.8
candidate,1,2,16,0.8
candidate,1,2,17,0.8
candidate,1,2,18,0.8
candidate,1,2,19,0.8
candidate,1,2,20,0.8
candidate,1,2,21,0.8
candidate,1,2,22,0.8
candidate,1,2,23,0.8
candidate,1,2,24,0.8
candidate,1,3,1,1.13
candidate,1,3,2,1.13
candidate,1,3,3,1.13
candidate,1,3,4,1.13
candidate,1,3,5,1.13
candidate,1,3,6,1.13
candidate,1,3,7,1.13
candidate,1,3,8,1.13
candidate,1,3,9,1.13
candidate,1,3,10,1.13
candidate,1,3,11,1.13
candidate,1,3,12,1.13
candidate,1,3,13,1.13
candidate,1,3,14,1.13
candidate,1,3,15,1.13
candidate,1,3,16,1.13
candidate,1,3,17,1.13
candidate,1,3,18,1.13
candidate,1,3,19,1.13
candidate,1,3,20,1.13
candidate,1,3,21,1.13
candidate,1,3,22,1.13
candidate,1,3,23,1.13
candidate,1,3,24,1.13
candidate,1,4,1,1.4900000000000002
candidate,1,4,2,1.4900000000000002
candidate,1,4,3,1.4900000000000002
candidate,1,4,4,1.4900000000000002
candidate,1,4,5,1.4900000000000002
candidate,1,4,6,1.4900000000000002
candidate,1,4,7,1.4900000000000002
candidate,1,4,8,1.4900000000000002
candidate,1,4,9,1.4900000000000002
candidate,1,4,10,1.4900000000000002
candidate,1,4,11,1.4900000000000002
candidate,1,4,12,1.4900000000000002
candidate,1,4,13,1.4900000000000002
candidate,1,4,14,1.4900000000000002
candidate,1,4,15,1.4900000000000002
candidate,1,4,16,1.4900000000000002
candidate,1,4,17,1.4900000000000002
candidate,1,4,18,1.4900000000000002
candidate,1,4,19,1.4900000000000002
candidate,1,4,20,1.4900000000000002
candidate,1,4,21,1.4900000000000002
candidate,1,4,22,1.4900000000000002
candidate,1,4,23,1.4900000000000002
candidate,1,4,24,1.4900000000000002
candidate,1,5,1,1.88
candidate,1,5,2,1.88
candidate,1,5,3,1.88
candidate,1,5,4,1.88
candidate,1,5,5,1.88
candidate,1,5,6,1.88
candidate,1,5,7,1.88
candidate,1,5,8,1.88
candidate,1,5,9,1.88
candidate,1,5,10,1.88
candidate,1,5,11,1.88
candidate,1,5,12,1.88
candidate,1,5,13,1.88
candidate,1,5,14,1.88
candidate,1,5,15,1.88
candidate,1,5,16,1.88
candidate,1,5,17,1.88
