type,line_id,year,hour,flow_mw
existing,1,1,1,100.0
existing,1,1,2,100.0
existing,1,1,3,100.0
existing,1,1,4,100.0
existing,1,1,5,100.0
existing,1,1,6,100.0
existing,1,1,7,100.0
existing,1,1,8,100.0
existing,1,1,9,100.0
existing,1,1,10,100.0
existing,1,1,11,100.0
existing,1,1,12,100.0
existing,1,1,13,100.0
existing,1,1,14,100.0
existing,1,1,15,100.0
existing,1,1,16,100.0
existing,1,1,17,100.0
existing,1,1,18,100.0
existing,1,1,19,100.0
existing,1,1,20,100.0
existing,1,1,21,100.0
existing,1,1,22,100.0
existing,1,1,23,100.0
existing,1,1,24,100.0
existing,1,2,1,100.0
existing,1,2,2,100.0
existing,1,2,3,100.0
existing,1,2,4,100.0
existing,1,2,5,100.0
existing,1,2,6,100.0
existing,1,2,7,100.0
existing,1,2,8,100.0
existing,1,2,9,100.0
existing,1,2,10,100.0
existing,1,2,11,100.0
existing,1,2,12,100.0
existing,1,2,13,100.0
existing,1,2,14,100.0
existing,1,2,15,100.0
existing,1,2,16,100.0
existing,1,2,17,100.0
existing,1,2,18,100.0
existing,1,2,19,100.0
existing,1,2,20,100.0
existing,1,2,21,100.0
existing,1,2,22,100.0
existing,1,2,23,100.0
existing,1,2,24,100.0
existing,1,3,1,100.0
existing,1,3,2,100.0
existing,1,3,3,100.0
existing,1,3,4,100.0
existing,1,3,5,100.0
existing,1,3,6,100.0
existing,1,3,7,100.0
existing,1,3,8,100.0
existing,1,3,9,100.0
existing,1,3,10,100.0
existing,1,3,11,100.0
existing,1,3,12,100.0
existing,1,3,13,100.0
existing,1,3,14,100.0
existing,1,3,15,100.0
existing,1,3,16,100.0
existing,1,3,17,100.0
existing,1,3,18,100.0
existing,1,3,19,100.0
existing,1,3,20,100.0
existing,1,3,21,100.0
existing,1,3,22,100.0
existing,1,3,23,100.0
existing,1,3,24,100.0
existing,1,4,1,100.0
existing,1,4,2,100.0
existing,1,4,3,100.0
existing,1,4,4,100.0
existing,1,4,5,100.0
existing,1,4,6,100.0
existing,1,4,7,100.0
existing,1,4,8,100.0
existing,1,4,9,100.0
existing,1,4,10,100.0
existing,1,4,11,100.0
existing,1,4,12,100.0
existing,1,4,13,100.0
existing,1,4,14,100.0
existing,1,4,15,100.0
existing,1,4,16,100.0
existing,1,4,17,100.0
