gen_id,year,capacity_added_mw,cumulative_capacity_mw,investment_cost
781,1,0.0,0.0,0.0
781,2,0.0,0.0,0.0
781,3,0.0,0.0,0.0
781,4,0.0,0.0,0.0
781,5,0.0,0.0,0.0
781,6,0.0,0.0,0.0
41,1,0.0,0.0,0.0
41,2,0.0,0.0,0.0
41,3,0.0,0.0,0.0
41,4,0.0,0.0,0.0
41,5,0.0,0.0,0.0
41,6,0.0,0.0,0.0
192,1,0.0,0.0,0.0
192,2,0.0,0.0,0.0
192,3,0.0,0.0,0.0
192,4,0.0,0.0,0.0
192,5,0.0,0.0,0.0
192,6,0.0,0.0,0.0
45,1,0.0,0.0,0.0
45,2,0.0,0.0,0.0
45,3,0.0,0.0,0.0
45,4,0.0,0.0,0.0
45,5,0.0,0.0,0.0
45,6,0.0,0.0,0.0
679,1,0.0,0.0,0.0
679,2,0.0,0.0,0.0
679,3,0.0,0.0,0.0
679,4,0.0,0.0,0.0
679,5,0.0,0.0,0.0
679,6,0.0,0.0,0.0
155,1,0.0,0.0,0.0
155,2,0.0,0.0,0.0
155,3,0.0,0.0,0.0
155,4,0.0,0.0,0.0
155,5,0.0,0.0,0.0
155,6,0.0,0.0,0.0
154,1,0.0,0.0,0.0
154,2,0.0,0.0,0.0
154,3,0.0,0.0,0.0
154,4,0.0,0.0,0.0
154,5,0.0,0.0,0.0
154,6,0.0,0.0,0.0
481,1,0.0,0.0,0.0
481,2,0.0,0.0,0.0
481,3,0.0,0.0,0.0
481,4,0.0,0.0,0.0
481,5,0.0,0.0,0.0
481,6,0.0,0.0,0.0
57,1,0.0,0.0,0.0
57,2,0.0,0.0,0.0
57,3,0.0,0.0,0.0
57,4,0.0,0.0,0.0
57,5,0.0,0.0,0.0
57,6,0.0,0.0,0.0
221,1,0.0,0.0,0.0
221,2,0.0,0.0,0.0
221,3,0.0,0.0,0.0
221,4,0.0,0.0,0.0
221,5,0.0,0.0,0.0
221,6,0.0,0.0,0.0
149,1,0.0,0.0,0.0
149,2,0.0,0.0,0.0
149,3,0.0,0.0,0.0
149,4,0.0,0.0,0.0
149,5,0.0,0.0,0.0
149,6,0.0,0.0,0.0
181,1,0.0,0.0,0.0
181,2,0.0,0.0,0.0
181,3,0.0,0.0,0.0
181,4,0.0,0.0,0.0
181,5,0.0,0.0,0.0
181,6,0.0,0.0,0.0
7,1,0.0,0.0,0.0
7,2,0.0,0.0,0.0
7,3,0.0,0.0,0.0
7,4,0.0,0.0,0.0
7,5,0.0,0.0,0.0
7,6,0.0,0.0,0.0
311,1,0.0,0.0,0.0
311,2,0.0,0.0,0.0
311,3,0.0,0.0,0.0
311,4,0.0,0.0,0.0
311,5,0.0,0.0,0.0
