Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,,,0.181951013,0.830247033,,,,,133.3333333,133.3333333
4197.555556,1,OPTIMAL,44.44444444,1,0,4242,5.157031417,No,0,0,33.33333333,133.3333333,,,,,,,,533.3333333,666.6666667
4607.005111,2,OPTIMAL,88.88888889,1,0,4695.894,8.863169359,No,0,0,0.666666667,133.3333333,,,,,,,,88.88888889,755.5555556
4437.494791,3,OPTIMAL,88.88888889,1,0,4526.38368,10.6707161,No,0,0,0.666666667,133.3333333,,,,,,,,222.2222222,977.7777778
4360.924341,4,OPTIMAL,87.57621948,1,0,4448.50056,14.7748126,No,0,0,0.656821646,133.3333333,,,,,,,,88.88888889,1066.666667
4359.302047,5,OPTIMAL,75.45443326,1,0,4434.75648,0.372396118,No,0,0,0.565908249,133.3333333,,,,,,,,0,1066.666667
4358.761282,6,OPTIMAL,71.41383785,1,0,4430.17512,30.11954175,No,0,0,0.535603784,133.3333333,,,,,,,,177.7777778,1244.444444
4469.564311,7,OPTIMAL,88.88888889,1,0,4558.4532,31.88785766,No,0,0,0.666666667,133.3333333,,,,,,,,44.44444444,1288.888889
4570.354231,8,OPTIMAL,88.88888889,1,0,4659.24312,33.41041986,No,0,0,0.666666667,133.3333333,,,,,,,,266.6666667,1555.555556
4625.330551,9,OPTIMAL,88.88888889,1,0,4714.21944,38.02615232,No,0,0,0.666666667,133.3333333,,,,,,,,222.2222222,1777.777778
4358.220518,10,OPTIMAL,67.37324244,1,0,4425.59376,9.189582705,No,0,0,0.505299318,133.3333333,,,,,,,,,
4307.847556,11,OPTIMAL,44.44444444,1,0,4352.292,30.45174306,No,0,0,0.333333333,133.3333333,,,,,,,,,
4442.076151,12,OPTIMAL,88.88888889,1,0,4530.96504,7.606735559,No,0,0,0.666666667,133.3333333,,,,,,,,,
4597.842391,13,OPTIMAL,88.88888889,1,0,4686.73128,5.179819136,No,0,0,0.666666667,133.3333333,,,,,,,,,
4359.842811,14,OPTIMAL,79.49502866,1,0,4439.33784,8.111576403,No,0,0,0.596212715,133.3333333,,,,,,,,,
4529.121991,15,OPTIMAL,88.88888889,1,0,4618.01088,27.88555914,No,0,0,0.666666667,133.3333333,,,,,,,,,
4570.354231,16,OPTIMAL,88.88888889,1,0,4659.24312,15.90013957,No,0,0,0.666666667,133.3333333,,,,,,,,,
4368.774391,17,OPTIMAL,88.88888889,1,0,4457.66328,11.82039648,No,0,0,0.666666667,133.3333333,,,,,,,,,
4357.138988,18,OPTIMAL,59.29205162,1,0,4416.43104,30.72630318,No,0,0,0.444690387,133.3333333,,,,,,,,,
4675.725511,19,OPTIMAL,88.88888889,1,0,4764.6144,36.26376758,No,0,0,0.666666667,133.3333333,,,,,,,,,
4410.006631,20,OPTIMAL,88.88888889,1,0,4498.89552,1.142415494,No,0,0,0.666666667,133.3333333,,,,,,,,,
4414.587991,21,OPTIMAL,88.88888889,1,0,4503.47688,6.388885873,No,0,0,0.666666667,133.3333333,,,,,,,,,
4419.169351,22,OPTIMAL,88.88888889,1,0,4508.05824,4.871097717,No,0,0,0.666666667,133.3333333,,,,,,,,,
4356.598224,23,OPTIMAL,55.25145621,1,0,4411.84968,11.64386476,No,0,0,0.414385922,133.3333333,,,,,,,,,
4360.924341,24,OPTIMAL,87.57621948,1,0,4448.50056,36.56298561,No,0,0,0.656821646,133.3333333,,,,,,,,,
4451.238871,25,OPTIMAL,88.88888889,1,0,4540.12776,17.19448328,No,0,0,0.666666667,133.3333333,,,,,,,,,
4358.220518,26,OPTIMAL,67.37324244,1,0,4425.59376,28.96110913,No,0,0,0.505299318,133.3333333,,,,,,,,,
4356.057459,27,OPTIMAL,51.2108608,1,0,4407.26832,3.690965768,No,0,0,0.384081456,133.3333333,,,,,,,,,
4460.401591,28,OPTIMAL,88.88888889,1,0,4549.29048,6.492879513,No,0,0,0.666666667,133.3333333,,,,,,,,,
4634.493271,29,OPTIMAL,88.88888889,1,0,4723.38216,34.95443818,No,0,0,0.666666667,133.3333333,,,,,,,,,
4455.820231,30,OPTIMAL,88.88888889,1,0,4544.70912,9.965603811,No,0,0,0.666666667,133.3333333,,,,,,,,,
4321.591636,31,OPTIMAL,44.44444444,1,0,4366.03608,34.50451667,No,0,0,0.333333333,133.3333333,,,,,,,,,
4400.843911,32,OPTIMAL,88.88888889,1,0,4489.7328,7.496378129,No,0,0,0.666666667,133.3333333,,,,,,,,,
4357.138988,33,OPTIMAL,59.29205162,1,0,4416.43104,26.65414252,No,0,0,0.444690387,133.3333333,,,,,,,,,
