Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,,,0,72.30483744,,,,,488.8888889,488.8888889
4101.041274,1,OPTIMAL,140.9587257,1,0,4242,5.056261307,No,0,0,28.83246661,488.8888889,,,,,,,,533.3333333,1022.222222
4322.09234,2,OPTIMAL,373.8016602,1,0,4695.894,8.372125949,No,0,0,76.4594305,488.8888889,,,,,,,,44.44444444,1066.666667
4254.873618,3,OPTIMAL,271.5100624,1,0,4526.38368,10.24394091,No,0,0,55.53614913,488.8888889,,,,,,,,266.6666667,1333.333333
4213.129085,4,OPTIMAL,235.371475,1,0,4448.50056,14.29609619,No,0,0,48.14416535,488.8888889,,,,,,,,44.44444444,1377.777778
4205.762403,5,OPTIMAL,228.9940773,1,0,4434.75648,0.360651567,No,0,0,46.83969762,488.8888889,,,,,,,,44.44444444,1422.222222
4203.306842,6,OPTIMAL,226.868278,1,0,4430.17512,29.17835415,No,0,0,46.40487505,488.8888889,,,,,,,,133.3333333,1555.555556
4272.062543,7,OPTIMAL,286.3906572,1,0,4558.4532,30.51431836,No,0,0,58.57990716,488.8888889,,,,,,,,133.3333333,1688.888889
4309.586856,8,OPTIMAL,349.6562636,1,0,4659.24312,31.66535927,No,0,0,71.52059938,488.8888889,,,,,,,,222.2222222,1911.111111
4328.345081,9,OPTIMAL,385.8743585,1,0,4714.21944,35.86019407,No,0,0,78.92884606,488.8888889,,,,,,,,88.88888889,2000
4200.851281,10,OPTIMAL,224.7424788,1,0,4425.59376,8.905090136,No,0,0,45.97005247,488.8888889,,,,,,,,,
4161.195885,11,OPTIMAL,191.0961148,1,0,4352.292,29.65274528,No,0,0,39.08784167,488.8888889,,,,,,,,,
4257.329178,12,OPTIMAL,273.6358617,1,0,4530.96504,7.299125934,No,0,0,55.97097171,488.8888889,,,,,,,,,
4318.965969,13,OPTIMAL,367.7653111,1,0,4686.73128,4.896912727,No,0,0,75.22472272,488.8888889,,,,,,,,,
4208.217963,14,OPTIMAL,231.1198765,1,0,4439.33784,7.853414748,No,0,0,47.2745202,488.8888889,,,,,,,,,
4295.518188,15,OPTIMAL,322.4926925,1,0,4618.01088,26.53121227,No,0,0,65.96441437,488.8888889,,,,,,,,,
4309.586856,16,OPTIMAL,349.6562636,1,0,4659.24312,15.06965893,No,0,0,71.52059938,488.8888889,,,,,,,,,
4218.040206,17,OPTIMAL,239.6230736,1,0,4457.66328,11.42745759,No,0,0,49.0138105,488.8888889,,,,,,,,,
4195.94016,18,OPTIMAL,220.4908802,1,0,4416.43104,29.79298911,No,0,0,45.10040732,488.8888889,,,,,,,,,
4328.102981,19,OPTIMAL,436.5114191,1,0,4764.6144,34.0620111,No,0,0,89.28642662,488.8888889,,,,,,,,,
4240.140253,20,OPTIMAL,258.7552669,1,0,4498.89552,1.099803561,No,0,0,52.92721368,488.8888889,,,,,,,,,
4242.595814,21,OPTIMAL,260.8810661,1,0,4503.47688,6.147688175,No,0,0,53.36203626,488.8888889,,,,,,,,,
4245.051375,22,OPTIMAL,263.0068654,1,0,4508.05824,4.68500194,No,0,0,53.79685883,488.8888889,,,,,,,,,
4193.484599,23,OPTIMAL,218.365081,1,0,4411.84968,11.29359115,No,0,0,44.66558475,488.8888889,,,,,,,,,
4213.129085,24,OPTIMAL,235.371475,1,0,4448.50056,35.37831398,No,0,0,48.14416535,488.8888889,,,,,,,,,
4262.2403,25,OPTIMAL,277.8874602,1,0,4540.12776,16.48395443,No,0,0,56.84061686,488.8888889,,,,,,,,,
4200.851281,26,OPTIMAL,224.7424788,1,0,4425.59376,28.06452649,No,0,0,45.97005247,488.8888889,,,,,,,,,
4191.029038,27,OPTIMAL,216.2392817,1,0,4407.26832,3.581017303,No,0,0,44.23076217,488.8888889,,,,,,,,,
4267.151421,28,OPTIMAL,282.1390587,1,0,4549.29048,6.218871123,No,0,0,57.71026201,488.8888889,,,,,,,,,
4329.484476,29,OPTIMAL,393.8976841,1,0,4723.38216,32.9367175,No,0,0,80.56998085,488.8888889,,,,,,,,,
4264.695861,30,OPTIMAL,280.0132595,1,0,4544.70912,9.549411065,No,0,0,57.27543943,488.8888889,,,,,,,,,
4168.692075,31,OPTIMAL,197.3440049,1,0,4366.03608,33.56816093,No,0,0,40.36581917,488.8888889,,,,,,,,,
4235.229132,32,OPTIMAL,254.5036684,1,0,4489.7328,7.223587014,No,0,0,52.05756853,488.8888889,,,,,,,,,
4195.94016,33,OPTIMAL,220.4908802,1,0,4416.43104,25.84452067,No,0,0,45.10040732,488.8888889,,,,,,,,,
