Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,2000,,0,51.62617969
4091.319328,1,OPTIMAL,150.6806722,1,0,4242,5.058947911,No,0,0,7.534033608,,,,
4306.56556,2,OPTIMAL,389.3284402,1,0,4695.894,8.378880098,No,0,0,19.46642201,,,,
4240.787106,3,OPTIMAL,285.5965735,1,0,4526.38368,10.2512122,No,0,0,14.27982868,,,,
4200.301458,4,OPTIMAL,248.1991017,1,0,4448.50056,14.30552134,No,0,0,12.40995509,,,,
4193.156932,5,OPTIMAL,241.5995479,1,0,4434.75648,0.360886046,No,0,0,12.07997739,,,,
4190.775423,6,OPTIMAL,239.3996966,1,0,4430.17512,29.19723538,No,0,0,11.96998483,,,,
4257.457667,7,OPTIMAL,300.9955325,1,0,4558.4532,30.53659535,No,0,0,15.04977663,,,,
4294.616851,8,OPTIMAL,364.6262691,1,0,4659.24312,31.69020948,No,0,0,18.23131346,,,,
4312.539914,9,OPTIMAL,401.6795258,1,0,4714.21944,35.88951265,No,0,0,20.08397629,,,,
4188.393915,10,OPTIMAL,237.1998453,1,0,4425.59376,8.910825306,No,0,0,11.85999227,,,,
4150.289775,11,OPTIMAL,202.0022248,1,0,4352.292,29.66978624,No,0,0,10.10011124,,,,
4243.168615,12,OPTIMAL,287.7964248,1,0,4530.96504,7.304328199,No,0,0,14.38982124,,,,
4303.578383,13,OPTIMAL,383.1528975,1,0,4686.73128,4.900836561,No,0,0,19.15764487,,,,
4195.538441,14,OPTIMAL,243.7993992,1,0,4439.33784,7.858544626,No,0,0,12.18996996,,,,
4281.174553,15,OPTIMAL,336.8363266,1,0,4618.01088,26.55136507,No,0,0,16.84181633,,,,
4294.616851,16,OPTIMAL,364.6262691,1,0,4659.24312,15.08148523,No,0,0,18.23131346,,,,
4205.064476,17,OPTIMAL,252.5988043,1,0,4457.66328,11.43506063,No,0,0,12.62994021,,,,
4183.630897,18,OPTIMAL,232.8001427,1,0,4416.43104,29.81199355,No,0,0,11.64000714,,,,
4328.969389,19,OPTIMAL,435.6450111,1,0,4764.6144,34.07440521,No,0,0,21.78225055,,,,
4226.498054,20,OPTIMAL,272.3974658,1,0,4498.89552,1.100564851,No,0,0,13.61987329,,,,
4228.879563,21,OPTIMAL,274.5973171,1,0,4503.47688,6.151961787,No,0,0,13.72986586,,,,
4231.261072,22,OPTIMAL,276.7971684,1,0,4508.05824,4.688272551,No,0,0,13.83985842,,,,
4181.249389,23,OPTIMAL,230.6002915,1,0,4411.84968,11.30076029,No,0,0,11.53001457,,,,
4200.301458,24,OPTIMAL,248.1991017,1,0,4448.50056,35.40163825,No,0,0,12.40995509,,,,
4247.931633,25,OPTIMAL,292.1961274,1,0,4540.12776,16.49579859,No,0,0,14.60980637,,,,
4188.393915,26,OPTIMAL,237.1998453,1,0,4425.59376,28.08260097,No,0,0,11.85999227,,,,
4178.86788,27,OPTIMAL,228.4004402,1,0,4407.26832,3.583279445,No,0,0,11.42002201,,,,
4252.69465,28,OPTIMAL,296.59583,1,0,4549.29048,6.223375462,No,0,0,14.8297915,,,,
4315.527091,29,OPTIMAL,407.8550686,1,0,4723.38216,32.96346342,No,0,0,20.39275343,,,,
4250.313141,30,OPTIMAL,294.3959787,1,0,4544.70912,9.556300175,No,0,0,14.71979893,,,,
4157.434301,31,OPTIMAL,208.6017786,1,0,4366.03608,33.58800253,No,0,0,10.43008893,,,,
4221.735037,32,OPTIMAL,267.9977633,1,0,4489.7328,7.228544434,No,0,0,13.39988816,,,,
4183.630897,33,OPTIMAL,232.8001427,1,0,4416.43104,25.86100645,No,0,0,11.64000714,,,,
4284.161731,34,OPTIMAL,343.0118694,1,0,4627.1736,0.378811903,No,0,0,17.15059347,,,,
4193.156932,35,OPTIMAL,241.5995479,1,0,4434.75648,16.42031511,No,0,0,12.07997739,,,,
4266.983702,36,OPTIMAL,309.7949377,1,0,4576.77864,21.04328843,No,0,0,15.48974688,,,,
4214.590511,37,OPTIMAL,261.3982094,1,0,4475.98872,16.95962875,No,0,0,13.06991047,,,,
4157.434301,38,OPTIMAL,208.6017786,1,0,4366.03608,4.165266805,No,0,0,10.43008893,,,,
4228.879563,39,OPTIMAL,274.5973171,1,0,4503.47688,15.24217398,No,0,0,13.72986586,,,,
4330.462978,40,OPTIMAL,438.7327825,1,0,4769.19576,18.23209638,No,0,0,21.93663912,,,,
4231.261072,41,OPTIMAL,276.7971684,1,0,4508.05824,29.04890443,No,0,0,13.83985842,,,,
4207.445984,42,OPTIMAL,254.7986556,1,0,4462.24464,29.80242014,No,0,0,12.73993278,,,,
4314.033503,43,OPTIMAL,404.7672972,1,0,4718.8008,0.387377188,No,0,0,20.23836486,,,,
4150.289775,44,OPTIMAL,202.0022248,1,0,4352.292,17.83719292,No,0,0,10.10011124,,,,
4296.110439,45,OPTIMAL,367.7140405,1,0,4663.82448,2.293428102,No,0,0,18.38570203,,,,
4259.839176,46,OPTIMAL,303.1953838,1,0,4563.03456,32.06285149,No,0,0,15.15976919,,,,
4228.879563,47,OPTIMAL,274.5973171,1,0,4503.47688,20.29229187,No,0,0,13.72986586,,,,
4328.969389,48,OPTIMAL,435.6450111,1,0,4764.6144,21.63920561,No,0,0,21.78225055,,,,
4174.104862,1,OPTIMAL,224.0007376,2,0,4398.1056,22.43157156,No,0,0,11.20003688,,,,
4326.078924,2,OPTIMAL,844.6645559,2,0,5170.74348,35.3174074,Yes,0,0,42.23322779,,,,
4321.824679,3,OPTIMAL,493.5240407,2,0,4815.34872,7.92904728,No,0,0,24.67620204,,,,
4297.248407,4,OPTIMAL,588.1781533,2,0,4885.42656,10.1783543,No,0,0,29.40890767,,,,
4286.491941,5,OPTIMAL,664.006899,2,0,4950.49884,8.595720949,No,0,0,33.20034495,,,,
