Existing Gen (MW),Installed New Gen (MW),Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Op Cost (M$),Op Condition,Demand (MW),Congestion,Load Shed (MW),L %,UU %,0,87.20665943
6998.851104,2333.333333,OPTIMAL,1941.148896,1,0,5.174638924,1,8940,Yes,0,0,83.19209553,,
7646.415562,2333.333333,OPTIMAL,2250.164438,1,0,8.59704613,2,9896.58,Yes,0,0,96.43561876,,
7418.342605,2333.333333,OPTIMAL,2120.994995,1,0,10.50041696,3,9539.3376,Yes,0,0,90.8997855,,
7313.552327,2333.333333,OPTIMAL,2061.646873,1,0,14.64031577,4,9375.1992,Yes,0,0,88.35629454,,
7295.059925,2333.333333,OPTIMAL,2051.173675,1,0,0.369272817,5,9346.2336,Yes,0,0,87.9074432,,
7288.895791,2333.333333,OPTIMAL,2047.682609,1,0,29.87415984,6,9336.5784,Yes,0,0,87.75782608,,
7461.491543,2333.333333,OPTIMAL,2145.432457,1,0,31.29001995,7,9606.924,Yes,0,0,91.94710531,,
7597.10249,2333.333333,OPTIMAL,2222.23591,1,0,32.5043151,8,9819.3384,Yes,0,0,95.23868184,,
7671.072098,2333.333333,OPTIMAL,2264.128702,1,0,36.83015371,9,9935.2008,Yes,0,0,97.03408722,,
7282.731657,2333.333333,OPTIMAL,2044.191543,1,0,9.116928782,10,9326.9232,Yes,0,0,87.60820897,,
7171.059054,2333.333333,OPTIMAL,2001.380946,1,0,30.35131839,11,9172.44,Yes,0,0,85.77346912,,
7424.506739,2333.333333,OPTIMAL,2124.486061,1,0,7.482276306,12,9548.9928,Yes,0,0,91.04940261,,
7634.087294,2333.333333,OPTIMAL,2243.182306,1,0,5.028018984,13,9877.2696,Yes,0,0,96.13638453,,
7301.224059,2333.333333,OPTIMAL,2054.664741,1,0,8.041602418,14,9355.8888,Yes,0,0,88.05706031,,
7541.625285,2333.333333,OPTIMAL,2190.816315,1,0,27.22285782,15,9732.4416,Yes,0,0,93.8921278,,
7597.10249,2333.333333,OPTIMAL,2222.23591,1,0,15.46892104,16,9819.3384,Yes,0,0,95.23868184,,
7325.880595,2333.333333,OPTIMAL,2068.629005,1,0,11.70391837,17,9394.5096,Yes,0,0,88.65552877,,
7270.403389,2333.333333,OPTIMAL,2037.209411,1,0,30.49824212,18,9307.6128,Yes,0,0,87.30897474,,
7752.519111,2333.333333,OPTIMAL,2288.888889,1,0,35.00703906,19,10041.408,Yes,0,0,98.0952381,,
7381.357801,2333.333333,OPTIMAL,2100.048599,1,0,1.126971684,20,9481.4064,Yes,0,0,90.00208281,,
7387.521935,2333.333333,OPTIMAL,2103.539665,1,0,6.29989706,21,9491.0616,Yes,0,0,90.15169992,,
7393.686069,2333.333333,OPTIMAL,2107.030731,1,0,4.801258404,22,9500.7168,Yes,0,0,90.30131704,,
7264.051347,2333.333333,OPTIMAL,2033.906253,1,0,11.56038752,23,9297.9576,Yes,0,0,87.16741086,,
7313.552327,2333.333333,OPTIMAL,2061.646873,1,0,36.23014851,24,9375.1992,Yes,0,0,88.35629454,,
7436.835007,2333.333333,OPTIMAL,2131.468193,1,0,16.89938639,25,9568.3032,Yes,0,0,91.34863685,,
7282.731657,2333.333333,OPTIMAL,2044.191543,1,0,28.73213919,26,9326.9232,Yes,0,0,87.60820897,,
7256.898093,2333.333333,OPTIMAL,2031.404307,1,0,3.665601821,27,9288.3024,Yes,0,0,87.06018457,,
7449.163275,2333.333333,OPTIMAL,2138.450325,1,0,6.376281971,28,9587.6136,Yes,0,0,91.64787108,,
7683.400366,2333.333333,OPTIMAL,2271.110834,1,0,33.8302265,29,9954.5112,Yes,0,0,97.33332145,,
7442.999141,2333.333333,OPTIMAL,2134.959259,1,0,9.79060117,30,9577.9584,Yes,0,0,91.49825396,,
7192.518814,2333.333333,OPTIMAL,2008.886786,1,0,34.35956768,31,9201.4056,Yes,0,0,86.09514798,,
7369.029533,2333.333333,OPTIMAL,2093.066467,1,0,7.401217094,32,9462.096,Yes,0,0,89.70284858,,
7270.403389,2333.333333,OPTIMAL,2037.209411,1,0,26.45630642,33,9307.6128,Yes,0,0,87.30897474,,
7553.953553,2333.333333,OPTIMAL,2197.798447,1,0,0.388426049,34,9751.752,Yes,0,0,94.19136203,,
7295.059925,2333.333333,OPTIMAL,2051.173675,1,0,16.8019132,35,9346.2336,Yes,0,0,87.9074432,,
7486.148079,2333.333333,OPTIMAL,2159.396721,1,0,21.56679711,36,9645.5448,Yes,0,0,92.54557377,,
7350.537131,2333.333333,OPTIMAL,2082.593269,1,0,17.36203428,37,9433.1304,Yes,0,0,89.25399723,,
7192.518814,2333.333333,OPTIMAL,2008.886786,1,0,4.260949027,38,9201.4056,Yes,0,0,86.09514798,,
7387.521935,2333.333333,OPTIMAL,2103.539665,1,0,15.60870018,39,9491.0616,Yes,0,0,90.15169992,,
7762.174311,2333.333333,OPTIMAL,2288.888889,1,0,18.73511086,40,10051.0632,Yes,0,0,98.0952381,,
7393.686069,2333.333333,OPTIMAL,2107.030731,1,0,29.74897364,41,9500.7168,Yes,0,0,90.30131704,,
7332.044729,2333.333333,OPTIMAL,2072.120071,1,0,30.50473746,42,9404.1648,Yes,0,0,88.80514589,,
