Existing Gen (MW),Installed New Gen (MW),Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Op Cost (M$),Op Condition,Demand (MW),Congestion,Load Shed (MW),L %,UU %,0,68.0491199
7364.974299,4055.555556,OPTIMAL,1575.025701,1,0,5.204299248,1,8940,Yes,0,0,38.83625016,,
8018.120215,4055.555556,OPTIMAL,1878.459785,1,0,8.638354607,2,9896.58,Yes,0,0,46.31818649,,
7774.197684,4055.555556,OPTIMAL,1765.139916,1,0,10.56191739,3,9539.3376,Yes,0,0,43.52399793,,
7662.12517,4055.555556,OPTIMAL,1713.07403,1,0,14.73360989,4,9375.1992,Yes,0,0,42.24018156,,
7642.347667,4055.555556,OPTIMAL,1703.885933,1,0,0.371660396,5,9346.2336,Yes,0,0,42.01362574,,
7635.755167,4055.555556,OPTIMAL,1700.823233,1,0,30.06824765,6,9336.5784,Yes,0,0,41.93810713,,
7820.34519,4055.555556,OPTIMAL,1786.57881,1,0,31.4668333,7,9606.924,Yes,0,0,44.0526282,,
7965.380208,4055.555556,OPTIMAL,1853.958192,1,0,32.66764075,8,9819.3384,Yes,0,0,45.71403761,,
8044.490218,4055.555556,OPTIMAL,1890.710582,1,0,37.00312976,9,9935.2008,Yes,0,0,46.62026093,,
7629.162666,4055.555556,OPTIMAL,1697.760534,1,0,9.176445432,10,9326.9232,Yes,0,0,41.86258852,,
7523.682652,4055.555556,OPTIMAL,1648.757348,1,0,30.54291074,11,9172.44,Yes,0,0,40.65429076,,
7780.790185,4055.555556,OPTIMAL,1768.202615,1,0,7.525877678,12,9548.9928,Yes,0,0,43.59951654,,
8004.935213,4055.555556,OPTIMAL,1872.334387,1,0,5.052452765,13,9877.2696,Yes,0,0,46.16714927,,
7648.940168,4055.555556,OPTIMAL,1706.948632,1,0,8.093345911,14,9355.8888,Yes,0,0,42.08914435,,
7906.047701,4055.555556,OPTIMAL,1826.393899,1,0,27.36651099,15,9732.4416,Yes,0,0,45.03437012,,
