Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW)
4837.4556546000695,1,OPTIMAL,1416.7743453999292,1,0.0,6254.23,3.689995699999999,Yes,0.0
5273.5135792,2,OPTIMAL,1400.0,1,0.0,6673.5135792,5.805956813904001,Yes,0.0
5183.620348566981,3,OPTIMAL,1375.0655678330186,1,0.0,6558.6859164,7.280141367203999,Yes,0.0
5173.49470930579,4,OPTIMAL,1364.9275018942108,1,0.0,6538.422211200001,10.330707093696,Yes,0.0
5170.1194962187255,5,OPTIMAL,1361.5481465812738,1,0.0,6531.667642799999,0.26126670571199995,Yes,0.0
5320.795558,6,OPTIMAL,1400.0,1,0.0,6720.795558000001,21.775377607920003,Yes,0.0
5372.354003751964,7,OPTIMAL,1497.0420590480353,1,0.0,6869.3960627999995,22.531619085984,Yes,0.0
5358.5006326433395,8,OPTIMAL,1591.950250956661,1,0.0,6950.450883600001,23.075496933551996,Yes,0.0
5166.744283131662,9,OPTIMAL,1358.1687912683376,1,0.0,6524.9130744,24.207427506024,Yes,0.0
5112.74087373864,10,OPTIMAL,1304.0991062613596,1,0.0,6416.83998,6.352671580199999,Yes,0.0
5280.2681476,11,OPTIMAL,1400.0,1,0.0,6680.2681476,22.445700975936,Yes,0.0
5403.026707143612,12,OPTIMAL,1506.896766056389,1,0.0,6909.9234732,5.458839543828,Yes,0.0
5176.869922392854,13,OPTIMAL,1368.3068572071468,1,0.0,6545.1767796,3.338040157596,Yes,0.0
5365.160159830894,14,OPTIMAL,1443.444787369106,1,0.0,6808.604947200001,5.923486304064001,Yes,0.0
5372.354003751964,15,OPTIMAL,1497.0420590480353,1,0.0,6869.3960627999995,19.303002936468,Yes,0.0
5190.370774741109,16,OPTIMAL,1381.824278458891,1,0.0,6572.195053200001,10.384068184056002,Yes,0.0
5159.993856957535,17,OPTIMAL,1351.410080642466,1,0.0,6511.403937600001,8.204368961376,Yes,0.0
5570.212301288884,18,OPTIMAL,1454.5388347111173,1,0.0,7024.751136000002,23.322173771520006,Yes,0.0
5232.986168799999,19,OPTIMAL,1400.0,1,0.0,6632.9861688,23.082791867424003,Yes,0.0
5239.740737200002,20,OPTIMAL,1400.0,1,0.0,6639.740737200002,0.7967688884640002,Yes,0.0
6091.715959693858,1,OPTIMAL,1531.8151565061416,2,0.0,7623.531116200001,19.135063101662,Yes,0.0
5659.535704475783,2,OPTIMAL,1440.0160223242167,2,0.0,7099.5517268,23.286529663904005,Yes,0.0
5782.969673263629,3,OPTIMAL,1419.9019331363693,2,0.0,7202.871606399999,5.762297285120001,Yes,0.0
5897.603615479355,4,OPTIMAL,1401.2078791206452,2,0.0,7298.8114946,7.3717996095460006,Yes,0.0
6044.160035161492,5,OPTIMAL,1520.3311498385076,2,0.0,7564.491184999999,6.354172595399999,Yes,0.0
5809.423659928798,6,OPTIMAL,1415.5879206712023,2,0.0,7225.0115806,6.574760538346,Yes,0.0
5639.771563399999,7,OPTIMAL,1600.0,2,0.0,7239.7715634,11.149248207635999,Yes,0.0
5730.061699933295,8,OPTIMAL,1428.5299580667036,2,0.0,7158.5916579999985,9.735684654879996,Yes,0.0
6108.100245879453,9,OPTIMAL,1537.5708445205464,2,0.0,7645.671090399999,19.190634436903995,Yes,0.0
6031.710560239307,10,OPTIMAL,1518.0206419606916,2,0.0,7549.7312022,0.7549731202199998,Yes,0.0
5659.535704475783,11,OPTIMAL,1440.0160223242167,2,0.0,7099.5517268,6.176610002316001,Yes,0.0
5633.097172094375,12,OPTIMAL,1444.3145805056242,2,0.0,7077.411752599999,18.047399969129998,Yes,0.0
5774.151677708574,13,OPTIMAL,1421.3399372914248,2,0.0,7195.491614999999,17.5569995406,Yes,0.0
